lat,long,type
-28.82469298,153.25814447,6
-28.82581323,153.25988081,8
-28.82479474,153.25692584,8
-28.82128985,153.26150498,6
-28.82395586,153.25719167,8
-28.82129685,153.26189764,8
-28.82377855,153.25835465,8
-28.8164936,153.25993282,7
-28.82033347,153.25966577,6
-28.82339541,153.25944595,6
-28.82332592,153.25966048,8
-28.82397526,153.25752551,8
-28.82407013,153.25787759,8
-28.82474966,153.25919535,8
-28.82451646,153.25791391,8
-28.82787079,153.26368707,8
-28.82491634,153.25791029,8
-28.8244087,153.25492377,6
-28.82032692,153.25987163,6
-28.82224114,153.25899458,6
-28.82400829,153.25814711,7
-28.82533057,153.25802578,8
-28.82367808,153.25706077,8
-28.82353558,153.25710224,8
-28.82367141,153.26106269,8
-28.82488056,153.26244771,8
-28.82466978,153.25854503,8
-28.82555216,153.25941123,8
-28.82404735,153.2575378,8
-28.82409303,153.26071156,6
-28.82356556,153.25717859,8
-28.81925507,153.26211358,8
-28.81922778,153.26696321,7
-28.82317241,153.26020383,8
-28.82376685,153.25808951,8
-28.82537336,153.25451069,6
-28.82760618,153.23212767,6
-28.82362419,153.25735136,8
-28.82521418,153.25465889,8
-28.82122221,153.25660634,7
-28.81589681,153.25994856,7
-28.82490656,153.25655442,8
-28.81667271,153.25971968,7
-28.8198753,153.26124303,6
-28.81849852,153.26279395,6
-28.82447023,153.25824536,8
-28.82463696,153.25802055,6
-28.81744718,153.25044488,8
-28.80071261,153.25864771,6
-28.82129866,153.26692212,6
-28.82332686,153.2598075,7
-28.82338691,153.27128706,7
-28.82454164,153.25461433,8
-28.82195643,153.25150125,6
-28.82212263,153.25859898,8
-28.82303512,153.25859555,8
-28.82314032,153.25855079,8
-28.823833,153.25794558,8
-28.82385694,153.25817254,8
-28.82461277,153.25838771,7
-28.82480319,153.25666846,8
-28.82908109,153.25248864,8
-28.82341875,153.25510434,8
-28.82154322,153.25107194,6
-28.82352475,153.29184374,8
-28.82422905,153.25822222,8
-28.8243203,153.25822836,8
-28.82604916,153.25817851,6
-28.81912718,153.25437952,8
-28.82365956,153.25705592,8
-28.82245064,153.25863659,8
-28.82407572,153.2573152,8
-28.84699256,153.26642337,6
-28.82349917,153.25714015,8
-28.82183404,153.25783353,8
-28.82360735,153.25734637,8
